molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_pref_name,parent_molecule_chembl_id,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,target_chembl_id,target_organism,target_pref_name,target_tax_id,type,units,uo_units,value,standard_value_nm,standard_units_standardized,mol_weight,log_p,hbd,hba,tpsa,rotatable_bonds,aromatic_rings,is_valid_molecule,activity_class,is_active,pic50
CHEMBL222902,COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,IC50,870.0,nM,6.06,1837407.0,[],CHEMBL919560,Inhibition of COX2 expressed in CHO cells assessed as inhibition of arachidonic acid-stimulated PGE2 production by enzyme immunoassay,F,BAO_0000190,BAO_0000219,cell-based format,CHEMBL1149247,J Med Chem,2004.0,,,CHEMBL222902,0.0,http://www.openphacts.org/units/Nanomolar,629510.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.87,870.0,nM,464.5430000000001,4.539000000000003,0,7,79.65,8,4,true,Moderately Active,1,6.060480747381381
CHEMBL433427,COc1ccc2c(c1)c(CC(=O)NC(C)(C)CO)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,190.0,nM,6.72,1352738.0,[],CHEMBL769646,Inhibitory concentration against human prostaglandin G/H synthase 2,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1135305,Bioorg Med Chem Lett,2003.5,"{""bei"": ""15.67"", ""le"": ""0.31"", ""lle"": ""2.99"", ""sei"": ""8.34""}",,CHEMBL433427,0.5,http://www.openphacts.org/units/Nanomolar,213732.5,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.19,190.0,nM,428.91600000000017,3.729820000000003,2,5,80.56,6,3,true,Moderately Active,1,6.72124639904717
CHEMBL3357954,CN(C)c1ccc(/C=C/C(=O)C2CCc3ccccc3C2=O)c([N+](=O)[O-])c1,IC50,37660.0,nM,4.42,15062381.0,[],CHEMBL3370271,Inhibition of human recombinant COX2 using arachidonic acid substrate assessed as PGE2 production ELISA method after 2 mins,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3352402,Bioorg Med Chem,2014.0,"{""bei"": ""12.14"", ""le"": ""0.22"", ""lle"": ""0.73"", ""sei"": ""5.49""}",,CHEMBL3357954,0.0,http://www.openphacts.org/units/Nanomolar,2261201.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,37.66,37660.0,nM,364.40100000000007,3.6884000000000023,0,5,80.52,5,2,true,Low Activity,0,4.424119684319354
CHEMBL5085349,COc1ccc(CCNC(=O)c2ccccc2Nc2ccccc2)cc1,IC50,150000.0,nM,,24357147.0,"[{""comments"": null, ""relation"": ""="", ""result_flag"": 0, ""standard_relation"": ""="", ""standard_text_value"": null, ""standard_type"": ""TIME"", ""standard_units"": ""hr"", ""standard_value"": ""0.2"", ""text_value"": null, ""type"": ""Time"", ""units"": ""min"", ""value"": ""12.0""}]",CHEMBL5033585,Inhibition of human recombinant COX-2 using arachidonic acid as substrate preincubated 10 mins followed by substrate addition and measured after 2 mins by ELISA,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL5032522,Eur J Med Chem,2021.0,,,CHEMBL5085349,0.0,http://www.openphacts.org/units/Nanomolar,3773867.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,150.0,150000.0,nM,346.43000000000006,4.411300000000003,2,3,50.36,7,3,true,Low Activity,0,3.823908740944318
CHEMBL228561,COc1ccc(C2=Cc3ccccc3C2)c(OC)c1OC,IC50,1330.0,nM,5.88,1888148.0,[],CHEMBL906707,Inhibition of human recombinant COX2 by measuring PGE2,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1143748,Bioorg Med Chem,2007.0,"{""bei"": ""20.81"", ""le"": ""0.38"", ""lle"": ""2.07"", ""sei"": ""21.22""}",,CHEMBL228561,0.0,http://www.openphacts.org/units/Nanomolar,639880.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,1.33,1330.0,nM,282.339,3.8091000000000026,0,3,27.69,4,2,true,Low Activity,0,5.876148359032913
CHEMBL3958352,O=C(CCn1sc2ccccc2c1=O)N1CCN(c2cccc(Cl)c2)CC1,IC50,128824.96,nM,,16804597.5,[],CHEMBL3869869,Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate preincubated for 2 mins followed by substrate addition in presence of TMPD by spectrophotometric analysis relative to control,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL3868617,Bioorg Med Chem,2017.0,,,CHEMBL3958352,0.0,http://www.openphacts.org/units/Nanomolar,2809442.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,pIC50,,UO_0000065,3.89,129362.48000000001,nM,401.9190000000001,3.455300000000002,0,5,45.550000000000004,4,3,true,Low Activity,0,3.888191667189541
CHEMBL1939517,COc1ccc(-n2c(-c3ccc(S(C)(=O)=O)cc3)cc(CC(=O)OCCCO)c2C)cc1,IC50,700.0,nM,6.16,17713293.0,[],CHEMBL3887378,"In Vitro Inhibition Assay: The murine monocyte/macrophage cell line J774 is grown in Dulbecco's modified Eagle's medium (DMEM), enriched with glutamine (2 mM), HEPES (25 mM), penicillin (100 ug/mL), streptomycin (100 ug/mL), 10% of fetal bovine serum (FBS) and 1.2% of sodium pyruvate. The cells are distributed in 24-well plates at a density of 2.5x105 cells/mL or in culture dishes with a diameter of 10 cm (1x107 cells/10 mL/dish) and kept for 2 hours at 37° C. in a CO2 (5%)/O2 (95%) atmosphere. Just before the experiments, the culture medium is replaced with fresh medium without FBS to avoid interference during the radio-immunological phase and the cells are stimulated as described below.Evaluation of COX-1 Activity.The cells are pretreated with the test compounds for 15 minutes and then incubated for 30 minutes with arachidonic acid (15x10-6 m). At the end of incubation the supernatants are collected for evaluating, by means of radio-immunological assays, the amount of PGE2 produced.",B,BAO_0000190,BAO_0000019,assay format,CHEMBL3886295,,2015.0,"{""bei"": ""13.45"", ""le"": ""0.26"", ""lle"": ""2.82"", ""sei"": ""6.49""}",,CHEMBL1939517,0.0,http://www.openphacts.org/units/Nanomolar,2843862.0,=,37.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,nM,UO_0000065,700.0,700.0,nM,457.54800000000034,3.3329200000000023,1,7,94.83000000000001,9,3,true,Moderately Active,1,6.154901959985743
CHEMBL155676,CS(=O)(=O)c1ccc(-c2cnnc(O)c2-c2ccccc2)cc1,IC50,33000.0,nM,,242382.5,[],CHEMBL762902,In vitro inhibitory activity against prostaglandin G/H synthase 2 stably transfected in Human whole blood (HWB) cell,B,BAO_0000190,BAO_0000221,tissue-based format,CHEMBL1136575,Bioorg Med Chem Lett,2003.0,,,CHEMBL155676,0.0,http://www.openphacts.org/units/Nanomolar,304883.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,33.0,19000.0,nM,326.377,2.9197000000000015,1,5,80.15,3,3,true,Low Activity,0,4.72124639904717
CHEMBL279404,Nc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,IC50,100000.0,nM,,2160514.0,[],CHEMBL936641,Inhibition of COX2,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1144769,J Med Chem,2008.0,,,CHEMBL279404,0.0,http://www.openphacts.org/units/Nanomolar,707952.0,>,1.0,1.0,>,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,100.0,100000.0,nM,280.24899999999997,3.539900000000001,2,2,55.120000000000005,2,2,true,Low Activity,0,3.999999999999999
CHEMBL1290682,CCCc1cc(OC(F)(F)F)cc2c1OC(C(F)(F)F)C(C(=O)O)=C2,IC50,43.0,nM,7.37,3602185.0,[],CHEMBL1291411,Inhibition of human COX-2,B,BAO_0000190,BAO_0000357,single protein format,CHEMBL1287644,Bioorg Med Chem Lett,2010.0,"{""bei"": ""19.90"", ""le"": ""0.40"", ""lle"": ""3.04"", ""sei"": ""13.21""}",,CHEMBL1290682,0.0,http://www.openphacts.org/units/Nanomolar,976249.0,=,1.0,1.0,=,CHEMBL230,Homo sapiens,Cyclooxygenase-2,9606,IC50,uM,UO_0000065,0.043,43.0,nM,370.245,4.3290000000000015,1,3,55.760000000000005,4,1,true,Highly Active,1,7.366531544420413
