rank,feature_name,importance
1,padel_VR1_DzZ,0.00951822872954947
2,rdkit_MinAbsEStateIndex,0.008095017179885472
3,padel_GATS7m,0.007514484359471276
4,padel_ATSC8e,0.00747012076325123
5,padel_AATS7i,0.00726561413926182
6,mordred_ATSC8d,0.0070520385558937035
7,mordred_BCUTZ-1l,0.006903003132839061
8,mordred_ATSC8c,0.006530888738671807
9,padel_GATS8m,0.006444591076827257
10,padel_GATS7c,0.006421399798217591
11,padel_CrippenLogP,0.006314944173105911
12,padel_VE1_Dze,0.0061077931956827316
13,padel_ALogp2,0.006105398507529044
14,mordred_GATS8i,0.00610435328154836
15,mordred_ATSC2dv,0.006100020457667439
16,padel_MATS1c,0.005989762755723744
17,padel_VE3_Dt,0.005909260261090228
18,mordred_ATSC7d,0.005883487805501466
19,mordred_ATSC7dv,0.005846239624069159
20,padel_GATS8i,0.005797526592767852
