SMILES,pIC50,QED,SA_Score,Mol_Weight,LogP,TPSA,Lipinski_Violations,Toxicophore,Comment,combined_score
O=C(O)Cc1ccccc1-c1ccn(C(F)F)c(=O)c1,6.929673217488001,0.9351942786576077,1.0,279.24199999999996,2.5375000000000005,59.3,0,1,Passed all filters with QED optimization,8.800061774803217
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(Cl)c2)o1,6.98359979301218,0.9020327846654284,1.0,354.85900000000004,3.9985200000000027,86.19,0,0,Passed all filters with QED optimization,8.787665362343038
CS(=O)(=O)Nc1cc2c(cc1Oc1ccc(F)cc1F)C(=O)CC2,6.953731206134688,0.9157188133076538,1.0,353.3460000000001,3.257500000000002,72.47,0,0,Passed all filters with QED optimization,8.785168832749996
CS(=O)(=O)Nc1ccncc1Oc1ccccc1,6.94512858007743,0.9191750051678418,1.0,264.30600000000004,2.2454,68.29,0,0,Passed all filters with QED optimization,8.783478590413115
Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1,6.907852560657556,0.9279762553531377,1.0,338.40400000000005,3.4842200000000014,86.19,0,0,Passed all filters with QED optimization,8.763805071363832
O=S(=O)(c1ccccc1)c1cnccc1NS(=O)(=O)C(F)(F)F,6.962440077357839,0.8951853215595573,1.0,366.34200000000004,2.1759000000000004,93.19999999999999,0,0,Passed all filters with QED optimization,8.752810720476955
CS(=O)(=O)Nc1ccncc1NC1CCCCC1.Cl.O,6.987871948311519,0.8812531946851321,1.0,323.846,1.7948,102.59,0,0,Passed all filters with QED optimization,8.750378337681784
Cc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1,6.943206332711538,0.9007059125608583,1.0,331.319,3.3951200000000012,71.09,0,0,Passed all filters with QED optimization,8.744618157833255
Nc1nc(Cl)nc(Nc2ccc(N3CCOCC3=O)cc2)n1,6.9935971210203185,0.8750710976340181,1.0,320.74,1.214,106.26,0,1,Passed all filters with QED optimization,8.743739316288355
O=C1COCCN1c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,6.894264920330351,0.9234297916100775,1.0,340.17,2.2852000000000006,80.24,0,1,Passed all filters with QED optimization,8.741124503550505
CS(=O)(=O)Nc1ccncc1Nc1cccc(F)c1,6.936880443763928,0.9020011114425892,1.0,281.31200000000007,2.3358,71.09,0,0,Passed all filters with QED optimization,8.740882666649107
[2H]C([2H])([2H])c1cc(Cl)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,6.918350879603238,0.9089067918702157,1.0,295.658305334,3.4397200000000003,46.53,0,1,Passed all filters with QED optimization,8.73616446334367
CS(=O)(=O)Nc1ccncc1Oc1cccc(Cl)c1,6.851736240949491,0.9421074342377926,1.0,298.75100000000003,2.8988000000000014,68.29,0,0,Passed all filters with QED optimization,8.735951109425077
CN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)O1,6.986364364561666,0.8736262478398299,1.0,315.394,2.835400000000001,46.61,0,0,Passed all filters with QED optimization,8.733616860241327
