SMILES,pIC50,QED,SA_Score,Mol_Weight,LogP,TPSA,Lipinski_Violations,Toxicophore,Comment,combined_score
Nc1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)nc1,6.991263254891168,0.8888878040477903,5.4,281.23699999999997,2.9349000000000007,68.00999999999999,0,1,Passed all filters with QED optimization,8.769038862986749
Nc1ccnc(NC(=O)c2cccc(C(F)(F)F)c2)c1,6.9032425163261175,0.8888878040477903,5.4,281.23699999999997,2.9349000000000007,68.00999999999999,0,1,Passed all filters with QED optimization,8.681018124421698
COc1c(OC)c(O)c2c(=O)cc(C)oc2c1Br,6.826974389568864,0.9223165453995597,4.9,315.1189999999999,2.5867200000000006,68.9,0,0,Passed all filters with QED optimization,8.671607480367983
O=C1CS/C(=N/c2nnc(-c3ccccc3)s2)N1,6.827920554459604,0.9113120987177977,5.9,276.346,2.0556,67.24,0,1,Passed all filters with QED optimization,8.6505447518952
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,6.884298229794021,0.8810778082204156,5.299999999999999,230.26299999999998,3.036500000000001,46.53,0,1,Passed all filters with QED optimization,8.646453846234852
CC(C(=O)O)c1ccc(C[C@H]2CCC[C@H]2O)cc1,6.923725745074216,0.8606604129123266,6.0,248.32199999999995,2.5782000000000007,57.53,0,1,Passed all filters with QED optimization,8.645046570898868
Cc1nnc(/N=C2\NC(=O)/C(=C/c3ccsc3)S2)s1,6.910391442147271,0.866324406268864,5.8,308.413,2.799620000000001,67.24000000000001,0,1,Passed all filters with QED optimization,8.643040254685
Cc1cccc(C)c1Nc1ccccc1CC(=O)O,6.889816099230337,0.8758788697788041,6.0,255.317,3.6741400000000013,49.33,0,1,Passed all filters with QED optimization,8.641573838787945
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,6.913579427821328,0.8528036890699656,6.0,254.285,3.1057000000000015,54.37,0,1,Passed all filters with QED optimization,8.61918680596126
CC(=O)Nc1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,6.941038064638295,0.838276900241525,3.9,261.36499999999995,3.6125000000000025,38.33,0,1,Passed all filters with QED optimization,8.617591865121346
CC(=O)c1nnn(-c2ccc(C(=O)O)cc2)c1C,6.953012345913253,0.8275625094802292,5.8999999999999995,245.238,1.47652,85.08,0,1,Passed all filters with QED optimization,8.608137364873711
O=C(O)C1=Cc2c(Cl)cc(Cl)cc2OC1C(F)(F)F,6.882055315632603,0.8579696127581123,4.8999999999999995,313.058,3.784700000000001,46.53,0,1,Passed all filters with QED optimization,8.597994541148827
CC1=Nc2c(/N=N/c3ccc(O)cc3)c(N)nn2C1=O,6.9530237193731,0.8136301100792276,5.8,270.252,2.3325000000000005,118.22,0,0,Passed all filters with QED optimization,8.580283939531554
CC(C(=O)O)c1cccn(C(F)F)c1=O,6.911463730185374,0.8326499119390812,5.1000000000000005,217.17099999999994,1.4315,59.3,0,1,Passed all filters with QED optimization,8.576763554063536
Nc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1,6.919957120258501,0.8265889280942447,5.2,280.24899999999997,3.539900000000001,55.12,0,1,Passed all filters with QED optimization,8.57313497644699
Cn1nc(C(F)(F)F)cc1-c1ccn(C(F)F)c(=O)c1,6.973063652431716,0.7986074878784357,5.2,293.19500000000005,2.662700000000001,39.82,0,0,Passed all filters with QED optimization,8.570278628188587
NS(=O)(=O)c1ccc(/N=C/c2cccc(O)c2)cc1,6.892649926493268,0.8368682624600189,5.6,276.317,1.7902,92.75000000000001,0,0,Passed all filters with QED optimization,8.566386451413306
CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,6.768633113828134,0.8980018124744938,4.6,275.392,3.403800000000002,38.33,0,1,Passed all filters with QED optimization,8.564636738777121
NS(=O)(=O)c1ccc(/C=N/c2ccc(F)cc2)cc1,6.803165130481313,0.8742604724433207,5.6,278.308,2.2237,72.52000000000001,0,0,Passed all filters with QED optimization,8.551686075367954
Nc1ccnc(NC(=O)c2ccc(C(F)(F)F)cc2)c1,6.762973135916415,0.8888878040477903,5.4,281.23699999999997,2.9349000000000007,68.00999999999999,0,1,Passed all filters with QED optimization,8.540748744011996
NS(=O)(=O)c1ccc(/C=N/c2ccc(O)cc2)cc1,6.840880289836028,0.8368682624600189,5.6,276.317,1.7902,92.75000000000001,0,0,Passed all filters with QED optimization,8.514616814756065
O=C(O)c1c(-c2ccccc2)noc1-c1ccccc1,6.941479405931399,0.7837117769533337,5.999999999999999,265.268,3.706800000000002,63.33,0,1,Passed all filters with QED optimization,8.508902959838066
